carrier_name|id
Carrier 80368|1234
Carrier 1055147|1235
Carrier 1126066|1236
Carrier 1067999|1237
Carrier 113302|1238
Carrier 1079008|1239
Carrier 1651827|1240
Carrier 1695550|1241
Carrier 22829|1242
Carrier 1695430|1243
Carrier 1258270|1244
Carrier 78623|1245
Carrier 1306346|1246
Carrier 1638732|1247
Carrier 1312412|1248
Carrier 1085336|1249
Carrier 155063|1250
Carrier 61757|1251
Carrier 1139729|1252
Carrier 1180379|1253
Carrier 1286123|1254
Carrier 1695154|1255
Carrier 505114|1256
Carrier 1457958|1257
Carrier 102741|1258
Carrier 1694789|1259
Carrier 1693497|1260
Carrier 1551543|1261
Carrier 57045|1262
Carrier 1693530|1263
Carrier 1030506|1264
Carrier 945578|1265
Carrier 1078133|1266
Carrier 1363581|1267
Carrier 1068159|1268
Carrier 1315606|1269
Carrier 91645|1270
Carrier 7636|1271
Carrier 1010501|1272
Carrier 6826|1273
Carrier 1033131|1274
Carrier 1661197|1275
Carrier 1695383|1276
Carrier 1553984|1277
Carrier 71933|1278
Carrier 1695155|1279
Carrier 1005125|1280
Carrier 1436000|1281
Carrier 1377644|1282
Carrier 1054345|1283
Carrier 86008|1284
Carrier 1004475|1285
Carrier 73340|1286
Carrier 1333637|1287
Carrier 1693531|1288
