lane|id|pickup|delivery
Tampa,FL -> La Palma,CA|324|Tampa,FL|La Palma,CA
Pearl City,IL -> Plant City,FL|325|Pearl City,IL|Plant City,FL
Winchester,VA -> Pompano Beach,FL|326|Winchester,VA|Pompano Beach,FL
Granite City,IL -> Moraine,OH|327|Granite City,IL|Moraine,OH
Saint Anthony,ID -> Bancroft,WI|328|Saint Anthony,ID|Bancroft,WI
Baldwinsville,NY -> Goldsboro,NC|329|Baldwinsville,NY|Goldsboro,NC
Houston,TX -> Albuquerque,NM|330|Houston,TX|Albuquerque,NM
Fort Collins,CO -> Upper Marlboro,MD|331|Fort Collins,CO|Upper Marlboro,MD
Charleston,SC -> Swedesboro,NJ|332|Charleston,SC|Swedesboro,NJ
Granite City,IL -> Bay City,MI|333|Granite City,IL|Bay City,MI
Sycamore,IL -> Lakeland,FL|334|Sycamore,IL|Lakeland,FL
Green Bay,WI -> Wilkes-Barre,PA|335|Green Bay,WI|Wilkes-Barre,PA
St. Louis,MO -> Pensacola,FL|336|St. Louis,MO|Pensacola,FL
Fort Collins,CO -> Puyallup,WA|337|Fort Collins,CO|Puyallup,WA
Houston,TX -> St. Augustine,FL|338|Houston,TX|St. Augustine,FL
Fairfield,CA -> Kalispell,MT|339|Fairfield,CA|Kalispell,MT
Newark,NJ -> Montgomery,AL|340|Newark,NJ|Montgomery,AL
Braithwaite,LA -> Fleetwood,PA|341|Braithwaite,LA|Fleetwood,PA
Kent,WA -> Waukegan,IL|342|Kent,WA|Waukegan,IL
St. Louis,MO -> Dickinson,ND|343|St. Louis,MO|Dickinson,ND
Aurora,CO -> Glasgow,MT|344|Aurora,CO|Glasgow,MT
Los Angeles,CA -> Elko,NV|345|Los Angeles,CA|Elko,NV
Holiday City,OH -> Baldwinsville,NY|346|Holiday City,OH|Baldwinsville,NY
Baldwinsville,NY -> Merrimack,NH|347|Baldwinsville,NY|Merrimack,NH
Walla Walla,WA -> North Salt Lake,UT|348|Walla Walla,WA|North Salt Lake,UT
Conover,NC -> Laredo,TX|349|Conover,NC|Laredo,TX
Houston,TX -> Las Vegas,NV|350|Houston,TX|Las Vegas,NV
St. Louis,MO -> Alexandria,LA|351|St. Louis,MO|Alexandria,LA
Newark,NJ -> Rogers,MN|352|Newark,NJ|Rogers,MN
Pompano Beach,FL -> Methuen,MA|353|Pompano Beach,FL|Methuen,MA
Sioux City,IA -> Bolingbrook,IL|354|Sioux City,IA|Bolingbrook,IL
Altoona,PA -> Plant City,FL|355|Altoona,PA|Plant City,FL
